1,0,0
10,0,0
20,0,0
87,0,0
88,0,0
94,0,0
95,0,0
121,0,0
126,0,0
148,0,0
158,0,0
164,0,0
165,0,0
171,0,0
173,0,0
191,0,0
204,0,0
214,0,0
221,0,0
235,0,0
241,0,0
243,0,0
263,0,0
264,0,0
266,0,0
281,0,0
301,0,0
322,0,0
329,0,0
331,0,0
334,0,0
340,0,0
344,0,0
351,0,0
368,0,0
392,0,0
394,0,0
402,0,0
404,0,0
411,0,0
421,0,0
426,0,0
430,0,0
444,0,0
527,0,0
531,0,0
779,0,0
784,0,0
173-P2,0,0
22-P2,0,0
2-P2,0,0
322-M2,0,0
336-P2,0,0
58-P2,0,0
D-222,0,0
M1,0,0
M2,0,0
M3,0,0
M4,0,0
M4.2,0,0
M5,0,0
M6,0,0
mum.1,0,0
mum.2,0,0
mum.3,0,0
X-180,0,0
10001,173,402
10002,2-P2,164
10003,214,164
10004,22-P2,421
10005,1,191
10006,221,430
10007,D-222,402
10008,344,421
10009,58-P2,158
10010,204,X-180
10011,173,402
10012,531,158
10013,784,M3
10014,mum.3,430
10015,204,126
10016,334,87
10017,243,164
10018,527,20
10019,301,421
10020,430,444
10021,235,243
10022,336-P2,158
10023,322,158
10024,88,191
10025,784,392
10026,10,402
10027,334,158
10028,221,421
10029,22-P2,430
10030,779,X-180
10031,214,402
10032,2-P2,87
10033,2-P2,241
10034,1,87
10035,95,430
10036,527,421
10037,214,421
10038,10,421
10039,22-P2,87
10040,243,392
10041,58-P2,430
10042,322,430
10043,301,20
10044,88,402
10045,22-P2,20
10046,344,402
10047,2-P2,329
10048,527,20
10049,1,421
10050,264,M1
10051,214,421
10052,88,402
10053,94,430
10054,D-222,368
10055,344,243
10056,243,X-180
10057,527,191
10058,10,430
10059,D-222,368
10060,214,158
10061,95,430
10062,527,87
10063,mum.1,368
10064,22-P2,421
10065,95,430
10066,2-P2,430
10067,334,402
10068,58-P2,402
10069,214,329
10070,10,421
10071,173-P2,421
10072,340,X-180
10073,D-222,421
10074,2-P2,126
10075,784,402
10076,243,444
10077,531,430
10078,301,87
10079,88,191
10080,344,241
10081,527,368
10082,94,430
10083,10,266
10084,D-222,191
10085,58-P2,281
10086,531,421
10087,301,430
10088,88,X-180
10089,mum.1,404
10090,301,402
10091,340,430
10092,334,266
10093,204,158
10094,784,421
10095,784,191
10096,95,430
10097,340,20
10098,322,87
