FID	IID	NOMISS	Fhat1	Fhat2	Fhat3	generation	HT_BLUP	type	line	total_mono	location	family
13_3-F	13_3-F	7895	0.119865	-0.257277	-0.0272238	FS	-0.17	s	13_3	30000	propane_cage	13
1332-S1	1332-S1	7890	0.322747	0.278736	0.342186	S1	-0.89	s	13_3	36000	propane_cage	13
1332-1-S2	1332-1-S2	7886	0.418537	0.496564	0.499016	S2	-1.38	s	13_3	35000	propane_cage	13
13_4-F	13_4-F	7866	-0.0090076	-0.164461	-0.045163	FS	-0.17	r	13_4	33000	propane_cage	13
1345-S1	1345-S1	7863	0.309994	0.260547	0.326794	S1	0.51	r	13_4	43000	propane_cage	13
1345-5-S2	1345-5-S2	7865	0.402301	0.482135	0.483731	S2	-3.19	r	13_4	55000	propane_cage	13
16_1-F	16_1-F	7920	0.303307	-0.559597	-0.0868571	FS	-3.12	s	16_1	13000	propane_cage	16
1611-S1	1611-S1	7918	0.422185	0.256345	0.380563	S1	0.81	s	16_1	23000	propane_cage	16
1611-2-S2	1611-2-S2	7919	0.5067	0.476948	0.533117	S2	-1.09	s	16_1	44000	propane_cage	16
16_5-F	16_5-F	7653	0.0875429	-0.252272	-0.0398323	FS	-3.12	r	16_5	15000	propane_cage	16
1654-S1	1654-S1	7653	0.266298	0.246016	0.298689	S1	-1.95	r	16_5	33000	propane_cage	16
1654-4-S2	1654-4-S2	7651	0.267356	0.462312	0.407377	S2	-2.91	r	16_5	31000	propane_cage	16
17_2-F	17_2-F	7835	0.136878	-0.341729	-0.0607538	FS	2.2	s	17_2	26000	propane_cage	17
1721-S1	1721-S1	7834	0.190555	0.315832	0.294871	S1	1.52	s	17_2	32000	propane_cage	17
1721-1-S2	1721-1-S2	7834	0.271855	0.55845	0.456829	S2	1.18	s	17_2	38000	propane_cage	17
17_5-F	17_5-F	7908	0.131288	-0.349062	-0.0674732	FS	2.2	r	17_5	17000	propane_cage	17
1755-S1	1755-S1	7908	0.19833	0.237638	0.259398	S1	-0.7	r	17_5	20000	propane_cage	17
1755-5-S2	1755-5-S2	7908	0.33491	0.411515	0.414626	S2	-3.49	r	17_5	33000	propane_cage	17
19_2-F	19_2-F	7895	0.190202	-0.32526	-0.0260471	FS	0.83	s	19_2	30000	propane_cage	19
1922-S1	1922-S1	7892	0.417712	0.288063	0.394322	S1	-0.52	s	19_2	40000	propane_cage	19
1922-1-S2	1922-1-S2	7868	0.514598	0.550334	0.574027	S2	2.22	s	19_2	57000	propane_cage	19
19_5-F	19_5-F	7881	0.0920531	-0.3266	-0.0757814	FS	0.83	r	19_5	37000	propane_cage	19
1955-S1	1955-S1	7877	0.388132	0.278019	0.374589	S1	-0.43	r	19_5	41000	propane_cage	19
1955-5-S2	1955-5-S2	7877	0.543429	0.487089	0.556773	S2	-2.06	r	19_5	54000	propane_cage	19
20_1-F	20_1-F	7910	0.0569967	-0.245336	-0.052703	FS	1.24	s	20_1	28000	propane_cage	20
2013-S1	2013-S1	7905	0.225007	0.28894	0.298403	S1	3.53	s	20_1	35000	propane_cage	20
2013-1-S2	2013-1-S2	7904	0.312182	0.546141	0.470596	S2	6.96	s	20_1	44000	propane_cage	20
20_4-F	20_4-F	7855	0.0399222	-0.220508	-0.0489182	FS	1.24	r	20_4	26000	propane_cage	20
2045-S1	2045-S1	7852	0.260867	0.33624	0.33988	S1	-0.55	r	20_4	23000	propane_cage	20
2045-5-S2	2045-5-S2	7851	0.377541	0.559185	0.509695	S2	-2.16	r	20_4	48000	propane_cage	20
21_2-F	21_2-F	7877	0.0631747	-0.311816	-0.0828074	FS	-0.57	s	21_2	26000	propane_cage	21
2121-S1	2121-S1	7872	0.284421	0.33504	0.351143	S1	0.22	s	21_2	14000	propane_cage	21
2121-1-S2	2121-1-S2	7870	0.346989	0.514823	0.472329	S2	1.8	s	21_2	32000	propane_cage	21
21_6-F	21_6-F	7918	0.189352	-0.491737	-0.109894	FS	-0.57	r	21_6	25000	propane_cage	21
2165-S1	2165-S1	7917	0.294716	0.162185	0.269754	S1	0.02	r	21_6	26000	propane_cage	21
2165-4-S2	2165-4-S2	7917	0.428204	0.473229	0.49202	S2	-1.11	r	21_6	38000	propane_cage	21
23_2-F	23_2-F	7734	-0.0284412	-0.0863888	-0.0151342	FS	0.61	s	23_2	28000	propane_cage	23
2323-S1	2323-S1	7734	0.0185451	0.391788	0.247448	S1	1.17	s	23_2	38000	propane_cage	23
2323-2-S2	2323-2-S2	7734	0.0175307	0.516913	0.309503	S2	0.86	s	23_2	44000	propane_cage	23
23_4-F	23_4-F	7745	0.113154	-0.244421	-0.0234124	FS	0.61	r	23_4	30000	propane_cage	23
2344-S1	2344-S1	7745	0.242297	0.222763	0.274751	S1	0.8	r	23_4	27000	propane_cage	23
2344-4-S2	2344-4-S2	7745	0.144006	0.685949	0.457198	S2	-1.34	r	23_4	35000	propane_cage	23
26_1-F	26_1-F	7891	0.188062	-0.359491	-0.0443386	FS	1.14	s	26_1	25000	propane_cage	26
2612-S1	2612-S1	7888	0.32482	0.316837	0.362221	S1	-0.93	s	26_1	21000	propane_cage	26
2612-1-S2	2612-1-S2	7860	0.385265	0.513501	0.490923	S2	1.66	s	26_1	29000	propane_cage	26
26_4-F	26_4-F	7875	0.0923861	-0.299268	-0.0619808	FS	1.14	r	26_4	NA	propane_cage	26
2645-S1	2645-S1	7874	0.225655	0.286367	0.297477	S1	1.33	r	26_4	NA	propane_cage	26
2645-4-S2	2645-4-S2	7874	0.388804	0.485139	0.478437	S2	0.53	r	26_4	NA	propane_cage	26
27_2-F	27_2-F	7694	0.28103	-0.383199	-0.00851903	FS	1.03	s	27_2	25000	propane_cage	27
2721-S1	2721-S1	7694	0.435437	0.218582	0.369575	S1	-0.8	s	27_2	38000	propane_cage	27
2721-1-S2	2721-1-S2	7357	0.406135	0.599845	0.547505	S2	0.31	s	27_2	NA	propane_cage	27
29_2-F	29_2-F	7927	2.59E-05	-0.212826	-0.0651486	FS	-0.46	s	29_2	13000	propane_cage	29
2923-S1	2923-S1	7925	0.137086	0.240147	0.229878	S1	-0.22	s	29_2	30000	propane_cage	29
2923-1-S2	2923-1-S2	7925	0.260837	0.524289	0.433825	S2	-1.25	s	29_2	32000	propane_cage	29
29_4-F	29_4-F	7943	-0.0129014	-0.274379	-0.102409	FS	-0.46	r	29_4	16000	propane_cage	29
2944-S1	2944-S1	7943	0.161827	0.373933	0.309111	S1	-0.51	r	29_4	30000	propane_cage	29
2944-5-S2	2944-5-S2	7943	0.314337	0.608723	0.502761	S2	-2.51	r	29_4	47000	propane_cage	29
6_1-F	6_1-F	7781	0.0520097	-0.245649	-0.0547297	FS	-0.68	s	6_1	22000	propane_cage	6
611-S1	611-S1	7777	0.250044	0.23087	0.282504	S1	0.74	s	6_1	19000	propane_cage	6
611-1-S2	611-1-S2	7777	0.398952	0.502989	0.493017	S2	-0.26	s	6_1	29000	propane_cage	6
6_4-F	6_4-F	6745	-0.0879153	-0.241929	-0.117331	FS	-0.68	r	6_4	9800	propane_cage	6
646-S1	646-S1	6744	0.06196	0.271102	0.214129	S1	3.5	r	6_4	16000	propane_cage	6
646-4-S2	646-4-S2	6743	0.157841	0.543858	0.398454	S2	1.34	r	6_4	27000	propane_cage	6
7_2-F	7_2-F	7793	0.141419	-0.285594	-0.0301266	FS	-0.44	s	7_2	29000	propane_cage	7
721-S1	721-S1	7792	0.241202	0.105973	0.215553	S1	1.71	s	7_2	29000	propane_cage	7
721-2-S2	721-2-S2	7752	0.299007	0.373942	0.378657	S2	2.32	s	7_2	47000	propane_cage	7
7_4-F	7_4-F	7904	0.154428	-0.386685	-0.0747572	FS	-0.44	r	7_4	21000	propane_cage	7
745-S1	745-S1	7904	0.295964	0.408191	0.393449	S1	-1.59	r	7_4	25000	propane_cage	7
745-4-S2	745-4-S2	7904	0.408495	0.563485	0.527361	S2	-2.96	r	7_4	36000	propane_cage	7
8_2-F	8_2-F	7847	0.00902166	-0.231904	-0.0697055	FS	-2.16	s	8_2	36000	propane_cage	8
821-S1	821-S1	7847	0.233993	0.343849	0.330657	S1	3.18	s	8_2	40000	propane_cage	8
821-1-S2	821-1-S2	7846	0.353478	0.545709	0.491335	S2	1.67	s	8_2	45000	propane_cage	8
8_4-F	8_4-F	7845	0.0763282	-0.270917	-0.0555479	FS	-2.16	r	8_4	22000	propane_cage	8
845-S1	845-S1	7845	0.294832	0.26336	0.320842	S1	-0.46	r	8_4	40000	propane_cage	8
845-4-S2	845-4-S2	7845	0.392116	0.439541	0.457575	S2	-4.28	r	8_4	22000	propane_cage	8
111-22-S3	111-22-S3	7909	0.589557	0.620659	0.64639	S3	-2.35	s	1_1	33000	S3_pots	1
1022-11-S3	1022-11-S3	7501	0.379749	0.726142	0.596473	S3	2.71	s	10_2	NA	S3_pots	10
1056-45-S3	1056-45-S3	7491	0.349591	0.756998	0.59708	S3	2.09	r	10_5	36000	S3_pots	10
1332-11-S3	1332-11-S3	7564	0.34342	0.695777	0.56283	S3	-0.01	s	13_3	NA	S3_pots	13
1345-54-S3	1345-54-S3	7863	0.466805	0.650188	0.60002	S3	-2.22	r	13_4	43000	S3_pots	13
1611-21-S3	1611-21-S3	7916	0.620351	0.632063	0.667515	S3	1.36	s	16_1	26000	S3_pots	16
1654-45-S3	1654-45-S3	7243	0.212646	0.670785	0.486655	S3	-3.3	r	16_5	NA	S3_pots	16
1721-11-S3	1721-11-S3	7825	0.307885	0.693366	0.542351	S3	5.64	s	17_2	47000	S3_pots	17
1755-54-S3	1755-54-S3	7907	0.391898	0.571109	0.522922	S3	-1.13	r	17_4	28000	S3_pots	17
1922-11-S3	1922-11-S3	7559	0.480983	0.709239	0.638371	S3	0.44	s	19_2	NA	S3_pots	19
1955-54-S3	1955-54-S3	7870	0.672652	0.690526	0.723139	S3	-0.41	r	19_5	64000	S3_pots	19
2013-13-S3	2013-13-S3	7898	0.346361	0.639543	0.534418	S3	1.25	s	20_1	49000	S3_pots	20
2045-54-S3	2045-54-S3	7851	0.459938	0.670349	0.606476	S3	-2.92	r	20_4	37000	S3_pots	20
2121-11-S3	2121-11-S3	7870	0.379629	0.660729	0.561602	S3	-0.16	s	21_2	25000	S3_pots	21
2165-44-S3	2165-44-S3	7916	0.48425	0.603188	0.585028	S3	-1.56	r	21_6	28000	S3_pots	21
2323-21-S3	2323-21-S3	7530	-0.045535	0.776797	0.409057	S3	2.05	s	23_2	38000	S3_pots	23
2344-46-S3	2344-46-S3	7706	0.169963	0.789644	0.522238	S3	2.97	r	23_4	NA	S3_pots	23
2612-12-S3	2612-12-S3	7336	0.336974	0.765553	0.59577	S3	3.06	s	26_1	18000	S3_pots	26
